moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,Unnamed: 13
2012-12-24,BR,Фьючерсный контракт на нефть BRENT,F,,42.0,14.0,39204.0,4110.0,221.0,-611.0,0.00567,-0.12942,
2012-12-24,BR,Фьючерсный контракт на нефть BRENT,F,1.0,769.0,152.0,5127.0,40221.0,26.0,858.0,0.0051,0.0218,
2013-01-08,BR,Фьючерсный контракт на нефть BRENT,F,,42.0,22.0,36175.0,5141.0,1700.0,428.0,0.04931,0.09081,
2013-01-08,BR,Фьючерсный контракт на нефть BRENT,F,1.0,726.0,176.0,6816.0,37850.0,968.0,2240.0,0.16553,0.0629,
2013-01-15,BR,Фьючерсный контракт на нефть BRENT,F,,49.0,19.0,45892.0,5237.0,-2150.0,-2857.0,-0.04475,-0.35298,
2013-01-15,BR,Фьючерсный контракт на нефть BRENT,F,1.0,787.0,172.0,4797.0,45452.0,567.0,1274.0,0.13404,0.02884,
2013-01-22,BR,Фьючерсный контракт на нефть BRENT,F,,42.0,18.0,48376.0,17358.0,-1412.0,1871.0,-0.02836,0.12081,
2013-01-22,BR,Фьючерсный контракт на нефть BRENT,F,1.0,735.0,242.0,7886.0,38904.0,2302.0,-981.0,0.41225,-0.0246,
2013-01-29,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,25.0,48018.0,13130.0,-2166.0,-4441.0,-0.04316,-0.25275,
2013-01-29,BR,Фьючерсный контракт на нефть BRENT,F,1.0,768.0,271.0,5832.0,40720.0,-4028.0,-1753.0,-0.40852,-0.04127,
2013-02-05,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,32.0,43375.0,22366.0,2589.0,9499.0,0.06348,0.73825,
2013-02-05,BR,Фьючерсный контракт на нефть BRENT,F,1.0,713.0,407.0,16255.0,37264.0,6074.0,-836.0,0.5966,-0.02194,
2013-02-12,BR,Фьючерсный контракт на нефть BRENT,F,,49.0,34.0,42125.0,20750.0,-449.0,-552.0,-0.01055,-0.02591,
2013-02-12,BR,Фьючерсный контракт на нефть BRENT,F,1.0,770.0,564.0,19124.0,40499.0,559.0,662.0,0.03011,0.01662,
2013-02-19,BR,Фьючерсный контракт на нефть BRENT,F,,41.0,25.0,46273.0,21656.0,2716.0,-2016.0,0.06236,-0.08516,
2013-02-19,BR,Фьючерсный контракт на нефть BRENT,F,1.0,724.0,393.0,13660.0,38277.0,-3404.0,1328.0,-0.19948,0.03594,
2013-02-26,BR,Фьючерсный контракт на нефть BRENT,F,,33.0,27.0,28552.0,32981.0,-4898.0,25123.0,-0.14643,3.1971,
2013-02-26,BR,Фьючерсный контракт на нефть BRENT,F,1.0,235.0,249.0,11449.0,7020.0,-8.0,-30029.0,-0.0007,-0.81052,
2013-03-05,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,22.0,4217.0,9796.0,-15.0,203.0,-0.00354,0.02116,
2013-03-05,BR,Фьючерсный контракт на нефть BRENT,F,1.0,343.0,197.0,13873.0,8294.0,-730.0,-948.0,-0.04999,-0.10258,
2013-03-12,BR,Фьючерсный контракт на нефть BRENT,F,,39.0,20.0,6438.0,12324.0,-1581.0,6852.0,-0.19716,1.2522,
2013-03-12,BR,Фьючерсный контракт на нефть BRENT,F,1.0,302.0,202.0,15218.0,9332.0,8426.0,-7.0,1.2406,-0.00075,
2013-03-19,BR,Фьючерсный контракт на нефть BRENT,F,,27.0,17.0,4511.0,12870.0,251.0,2782.0,0.05892,0.27577,
2013-03-19,BR,Фьючерсный контракт на нефть BRENT,F,1.0,235.0,185.0,13786.0,5427.0,-115.0,-2646.0,-0.00827,-0.32776,
2013-03-26,BR,Фьючерсный контракт на нефть BRENT,F,,30.0,22.0,6602.0,9244.0,2511.0,-2928.0,0.61379,-0.24055,
2013-03-26,BR,Фьючерсный контракт на нефть BRENT,F,1.0,278.0,191.0,9477.0,6835.0,-7061.0,-1622.0,-0.42696,-0.19179,
2013-04-02,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,26.0,9014.0,9729.0,4036.0,-7954.0,0.81077,-0.44981,
2013-04-02,BR,Фьючерсный контракт на нефть BRENT,F,1.0,272.0,276.0,11474.0,10759.0,-6078.0,5912.0,-0.34629,1.2197,
2013-04-09,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,19.0,14208.0,5862.0,1418.0,-5206.0,0.11087,-0.47037,
2013-04-09,BR,Фьючерсный контракт на нефть BRENT,F,1.0,409.0,147.0,3959.0,12305.0,-7145.0,-521.0,-0.64346,-0.04062,
2013-04-16,BR,Фьючерсный контракт на нефть BRENT,F,,33.0,9.0,8301.0,11461.0,-3917.0,-7754.0,-0.32059,-0.40354,
2013-04-16,BR,Фьючерсный контракт на нефть BRENT,F,1.0,285.0,126.0,10909.0,7749.0,-4745.0,-908.0,-0.30312,-0.10489,
2013-04-23,BR,Фьючерсный контракт на нефть BRENT,F,,33.0,24.0,12722.0,19250.0,1461.0,8006.0,0.12974,0.71202,
2013-04-23,BR,Фьючерсный контракт на нефть BRENT,F,1.0,277.0,182.0,17133.0,10605.0,10227.0,3682.0,1.4809,0.53185,
2013-04-30,BR,Фьючерсный контракт на нефть BRENT,F,,36.0,20.0,5854.0,9018.0,-216.0,-168.0,-0.03558,-0.01829,
2013-04-30,BR,Фьючерсный контракт на нефть BRENT,F,1.0,270.0,210.0,8617.0,5453.0,-909.0,-957.0,-0.09542,-0.1493,
2013-05-07,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,19.0,5261.0,6855.0,-1669.0,806.0,-0.24084,0.13325,
2013-05-07,BR,Фьючерсный контракт на нефть BRENT,F,1.0,263.0,225.0,7625.0,6031.0,1053.0,-1422.0,0.16023,-0.1908,
2013-05-14,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,20.0,13373.0,7953.0,2637.0,648.0,0.24562,0.08871,
2013-05-14,BR,Фьючерсный контракт на нефть BRENT,F,1.0,291.0,201.0,3678.0,9098.0,-1204.0,785.0,-0.24662,0.09443,
2013-05-21,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,24.0,11655.0,8825.0,3011.0,1657.0,0.34833,0.23117,
2013-05-21,BR,Фьючерсный контракт на нефть BRENT,F,1.0,242.0,215.0,7388.0,10218.0,-703.0,651.0,-0.08689,0.06805,
2013-05-28,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,32.0,9300.0,10739.0,2973.0,4679.0,0.46989,0.77211,
2013-05-28,BR,Фьючерсный контракт на нефть BRENT,F,1.0,226.0,316.0,10049.0,8610.0,2595.0,889.0,0.34814,0.11514,
2013-06-04,BR,Фьючерсный контракт на нефть BRENT,F,,26.0,27.0,6838.0,13249.0,839.0,149.0,0.13986,0.01137,
2013-06-04,BR,Фьючерсный контракт на нефть BRENT,F,1.0,231.0,237.0,10457.0,4046.0,-1141.0,-451.0,-0.09838,-0.10029,
2013-06-11,BR,Фьючерсный контракт на нефть BRENT,F,,24.0,26.0,12032.0,25746.0,2357.0,-1040.0,0.24362,-0.03883,
2013-06-11,BR,Фьючерсный контракт на нефть BRENT,F,1.0,135.0,269.0,16056.0,2342.0,-3633.0,-236.0,-0.18452,-0.09154,
2013-06-18,BR,Фьючерсный контракт на нефть BRENT,F,,33.0,29.0,41028.0,3704.0,4052.0,61.0,0.10958,0.01674,
2013-06-18,BR,Фьючерсный контракт на нефть BRENT,F,1.0,891.0,306.0,15674.0,52998.0,-1195.0,2796.0,-0.07084,0.05569,
2013-06-25,BR,Фьючерсный контракт на нефть BRENT,F,,30.0,23.0,13726.0,15252.0,888.0,-7012.0,0.06917,-0.31495,
2013-06-25,BR,Фьючерсный контракт на нефть BRENT,F,1.0,336.0,172.0,12297.0,10771.0,-7808.0,92.0,-0.38836,0.00862,
2013-07-02,BR,Фьючерсный контракт на нефть BRENT,F,,29.0,27.0,11905.0,17624.0,284.0,1338.0,0.02444,0.08216,
2013-07-02,BR,Фьючерсный контракт на нефть BRENT,F,1.0,305.0,257.0,16021.0,10302.0,671.0,-383.0,0.04371,-0.03584,
2013-07-09,BR,Фьючерсный контракт на нефть BRENT,F,,42.0,46.0,22443.0,23042.0,-935.0,-1182.0,-0.03999,-0.04879,
2013-07-09,BR,Фьючерсный контракт на нефть BRENT,F,1.0,759.0,464.0,31345.0,30746.0,-100.0,147.0,-0.00318,0.0048,
2013-07-16,BR,Фьючерсный контракт на нефть BRENT,F,,47.0,43.0,22531.0,16670.0,4024.0,-707.0,0.21743,-0.04069,
2013-07-16,BR,Фьючерсный контракт на нефть BRENT,F,1.0,843.0,416.0,27998.0,33859.0,314.0,5045.0,0.01134,0.17509,
2013-07-23,BR,Фьючерсный контракт на нефть BRENT,F,,37.0,31.0,13430.0,5480.0,257.0,1690.0,0.01951,0.44591,
2013-07-23,BR,Фьючерсный контракт на нефть BRENT,F,1.0,753.0,378.0,20585.0,28535.0,1445.0,12.0,0.0755,0.00042,
2013-07-30,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,34.0,15445.0,4931.0,-648.0,-336.0,-0.04027,-0.06379,
2013-07-30,BR,Фьючерсный контракт на нефть BRENT,F,1.0,759.0,398.0,19535.0,30049.0,383.0,71.0,0.02,0.00237,
2013-08-06,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,37.0,14537.0,12456.0,122.0,2862.0,0.00846,0.29831,
2013-08-06,BR,Фьючерсный контракт на нефть BRENT,F,1.0,760.0,445.0,27386.0,29467.0,1741.0,-999.0,0.06789,-0.03279,
2013-08-13,BR,Фьючерсный контракт на нефть BRENT,F,,44.0,42.0,23555.0,11629.0,-85.0,-501.0,-0.0036,-0.0413,
2013-08-13,BR,Фьючерсный контракт на нефть BRENT,F,1.0,783.0,472.0,26649.0,38575.0,7762.0,8178.0,0.41097,0.26904,
2013-08-20,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,38.0,13877.0,4101.0,-226.0,-10250.0,-0.01602,-0.71424,
2013-08-20,BR,Фьючерсный контракт на нефть BRENT,F,1.0,743.0,418.0,19643.0,29419.0,-12665.0,-2641.0,-0.39201,-0.08238,
2013-08-27,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,59.0,17572.0,12850.0,-1910.0,7118.0,-0.09804,1.2418,
2013-08-27,BR,Фьючерсный контракт на нефть BRENT,F,1.0,834.0,555.0,30127.0,34849.0,9872.0,844.0,0.48739,0.02482,
2013-09-03,BR,Фьючерсный контракт на нефть BRENT,F,,55.0,55.0,22604.0,21505.0,-1020.0,-225.0,-0.04318,-0.01035,
2013-09-03,BR,Фьючерсный контракт на нефть BRENT,F,1.0,928.0,519.0,35857.0,36956.0,2157.0,1362.0,0.06401,0.03826,
2013-09-10,BR,Фьючерсный контракт на нефть BRENT,F,,53.0,41.0,34861.0,6475.0,4758.0,-6876.0,0.15806,-0.51502,
2013-09-10,BR,Фьючерсный контракт на нефть BRENT,F,1.0,947.0,331.0,12111.0,40497.0,-10019.0,1615.0,-0.45273,0.04154,
2013-09-17,BR,Фьючерсный контракт на нефть BRENT,F,,46.0,26.0,29401.0,19875.0,-2436.0,14149.0,-0.07651,2.471,
2013-09-17,BR,Фьючерсный контракт на нефть BRENT,F,1.0,436.0,196.0,6071.0,15597.0,-2087.0,-18672.0,-0.25582,-0.54487,
2013-09-24,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,30.0,6081.0,5009.0,1114.0,785.0,0.22428,0.18584,
2013-09-24,BR,Фьючерсный контракт на нефть BRENT,F,1.0,271.0,227.0,6882.0,7954.0,-46.0,283.0,-0.00664,0.03689,
2013-10-01,BR,Фьючерсный контракт на нефть BRENT,F,,41.0,31.0,3534.0,6235.0,-1587.0,2786.0,-0.3099,0.80777,
2013-10-01,BR,Фьючерсный контракт на нефть BRENT,F,1.0,242.0,230.0,11263.0,8562.0,4704.0,331.0,0.71718,0.04021,
2013-10-08,BR,Фьючерсный контракт на нефть BRENT,F,1.0,301.0,308.0,16348.0,8396.0,860.0,654.0,0.05553,0.08447,
2013-10-08,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,37.0,5586.0,13538.0,2019.0,2225.0,0.56602,0.19668,
2013-10-15,BR,Фьючерсный контракт на нефть BRENT,F,,41.0,36.0,9180.0,13229.0,438.0,-2150.0,0.0501,-0.1398,
2013-10-15,BR,Фьючерсный контракт на нефть BRENT,F,1.0,266.0,242.0,12023.0,7974.0,-2493.0,95.0,-0.17174,0.01206,
2013-10-22,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,31.0,7395.0,6229.0,293.0,-361.0,0.04126,-0.05478,
2013-10-22,BR,Фьючерсный контракт на нефть BRENT,F,1.0,271.0,220.0,8908.0,10074.0,2259.0,2913.0,0.33975,0.40679,
2013-10-29,BR,Фьючерсный контракт на нефть BRENT,F,,31.0,33.0,4127.0,7065.0,-258.0,-190.0,-0.05884,-0.02619,
2013-10-29,BR,Фьючерсный контракт на нефть BRENT,F,1.0,233.0,219.0,9847.0,6909.0,248.0,180.0,0.02584,0.02675,
2013-11-05,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,22.0,8115.0,4257.0,1528.0,267.0,0.23197,0.06692,
2013-11-05,BR,Фьючерсный контракт на нефть BRENT,F,1.0,350.0,187.0,7817.0,11675.0,-251.0,1010.0,-0.03111,0.0947,
2013-11-12,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,27.0,3581.0,4614.0,-5616.0,-219.0,-0.61063,-0.04531,
2013-11-12,BR,Фьючерсный контракт на нефть BRENT,F,1.0,304.0,226.0,7942.0,6909.0,2470.0,-2927.0,0.45139,-0.29758,
2013-11-19,BR,Фьючерсный контракт на нефть BRENT,F,,22.0,35.0,5476.0,8574.0,1612.0,1777.0,0.41718,0.26144,
2013-11-19,BR,Фьючерсный контракт на нефть BRENT,F,1.0,187.0,287.0,9684.0,6586.0,853.0,688.0,0.09659,0.11665,
2013-11-26,BR,Фьючерсный контракт на нефть BRENT,F,,32.0,66.0,15024.0,9360.0,-3241.0,5113.0,-0.17744,1.2039,
2013-11-26,BR,Фьючерсный контракт на нефть BRENT,F,1.0,777.0,643.0,31941.0,37605.0,8113.0,-241.0,0.34048,-0.00637,
2013-12-03,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,65.0,14932.0,15169.0,-311.0,8844.0,-0.0204,1.3983,
2013-12-03,BR,Фьючерсный контракт на нефть BRENT,F,1.0,757.0,646.0,36948.0,36711.0,10136.0,981.0,0.37804,0.02746,
2013-12-10,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,50.0,22806.0,6196.0,8089.0,-4.0,0.54964,-0.00065,
2013-12-10,BR,Фьючерсный контракт на нефть BRENT,F,1.0,771.0,445.0,18835.0,35445.0,-9734.0,-1641.0,-0.34072,-0.04425,
2013-12-17,BR,Фьючерсный контракт на нефть BRENT,F,,46.0,27.0,35048.0,4975.0,1320.0,-8236.0,0.03914,-0.62342,
2013-12-17,BR,Фьючерсный контракт на нефть BRENT,F,1.0,769.0,234.0,5965.0,36038.0,-9138.0,418.0,-0.60505,0.01173,
2013-12-24,BR,Фьючерсный контракт на нефть BRENT,F,1.0,701.0,499.0,20616.0,33518.0,1152.0,779.0,0.05919,0.02379,
2013-12-24,BR,Фьючерсный контракт на нефть BRENT,F,,37.0,41.0,18821.0,5919.0,-228.0,145.0,-0.01197,0.02511,
2014-01-14,BR,Фьючерсный контракт на нефть BRENT,F,,40.0,28.0,8507.0,5670.0,844.0,212.0,0.11014,0.03884,
2014-01-14,BR,Фьючерсный контракт на нефть BRENT,F,1.0,335.0,178.0,4993.0,7830.0,288.0,920.0,0.06121,0.13314,
2014-01-21,BR,Фьючерсный контракт на нефть BRENT,F,,26.0,22.0,3519.0,3313.0,-5203.0,-1615.0,-0.59654,-0.32772,
2014-01-21,BR,Фьючерсный контракт на нефть BRENT,F,1.0,249.0,227.0,6626.0,6832.0,2921.0,-667.0,0.78839,-0.08895,
2014-01-28,BR,Фьючерсный контракт на нефть BRENT,F,,31.0,23.0,1975.0,14017.0,-1206.0,-900.0,-0.37913,-0.06033,
2014-01-28,BR,Фьючерсный контракт на нефть BRENT,F,1.0,195.0,198.0,17276.0,5234.0,1149.0,843.0,0.07125,0.19198,
2014-02-04,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,18.0,3456.0,12267.0,-633.0,-1632.0,-0.15481,-0.11742,
2014-02-04,BR,Фьючерсный контракт на нефть BRENT,F,1.0,194.0,196.0,14579.0,5768.0,-2059.0,-1060.0,-0.12375,-0.15524,
2014-02-11,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,41.0,23887.0,4691.0,6997.0,-160.0,0.41427,-0.03298,
2014-02-11,BR,Фьючерсный контракт на нефть BRENT,F,1.0,666.0,326.0,17048.0,36244.0,-4654.0,2503.0,-0.21445,0.07418,
2014-02-18,BR,Фьючерсный контракт на нефть BRENT,F,,44.0,42.0,29850.0,4796.0,452.0,45.0,0.01538,0.00947,
2014-02-18,BR,Фьючерсный контракт на нефть BRENT,F,1.0,747.0,319.0,24319.0,49373.0,2748.0,3155.0,0.12739,0.06826,
2014-02-25,BR,Фьючерсный контракт на нефть BRENT,F,,35.0,42.0,22336.0,4334.0,-57.0,-195.0,-0.00255,-0.04306,
2014-02-25,BR,Фьючерсный контракт на нефть BRENT,F,1.0,688.0,479.0,30673.0,48675.0,1356.0,1494.0,0.04625,0.03167,
2014-03-04,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,37.0,38626.0,4873.0,5309.0,-1.0,0.15935,-0.00021,
2014-03-04,BR,Фьючерсный контракт на нефть BRENT,F,1.0,690.0,253.0,11564.0,45317.0,-2657.0,2653.0,-0.18684,0.06218,
2014-03-11,BR,Фьючерсный контракт на нефть BRENT,F,,33.0,31.0,37100.0,3694.0,-2378.0,19.0,-0.06024,0.00517,
2014-03-11,BR,Фьючерсный контракт на нефть BRENT,F,1.0,686.0,221.0,12283.0,45689.0,1296.0,-1101.0,0.11796,-0.02353,
2014-03-18,BR,Фьючерсный контракт на нефть BRENT,F,,20.0,26.0,2141.0,3614.0,269.0,831.0,0.1437,0.2986,
2014-03-18,BR,Фьючерсный контракт на нефть BRENT,F,1.0,129.0,167.0,5032.0,3559.0,657.0,95.0,0.15017,0.02742,
2014-03-25,BR,Фьючерсный контракт на нефть BRENT,F,,22.0,28.0,4144.0,6515.0,-480.0,2729.0,-0.10381,0.72081,
2014-03-25,BR,Фьючерсный контракт на нефть BRENT,F,1.0,202.0,192.0,5965.0,3594.0,1488.0,-1721.0,0.33237,-0.3238,
2014-04-01,BR,Фьючерсный контракт на нефть BRENT,F,,26.0,25.0,3901.0,6201.0,109.0,-27.0,0.02874,-0.00434,
2014-04-01,BR,Фьючерсный контракт на нефть BRENT,F,1.0,158.0,222.0,4727.0,2427.0,-437.0,-301.0,-0.08462,-0.11034,
2014-04-08,BR,Фьючерсный контракт на нефть BRENT,F,,23.0,29.0,4237.0,10396.0,227.0,798.0,0.05661,0.08314,
2014-04-08,BR,Фьючерсный контракт на нефть BRENT,F,1.0,133.0,278.0,8020.0,1861.0,193.0,-378.0,0.02466,-0.16883,
2014-04-15,BR,Фьючерсный контракт на нефть BRENT,F,,30.0,52.0,27618.0,3285.0,21891.0,-5358.0,3.8224,-0.61992,
2014-04-15,BR,Фьючерсный контракт на нефть BRENT,F,1.0,539.0,359.0,9826.0,34159.0,2884.0,30133.0,0.41544,7.4846,
2014-04-22,BR,Фьючерсный контракт на нефть BRENT,F,,24.0,42.0,24037.0,3417.0,-1039.0,-726.0,-0.04143,-0.17524,
2014-04-22,BR,Фьючерсный контракт на нефть BRENT,F,1.0,547.0,438.0,14783.0,35403.0,687.0,374.0,0.04874,0.01068,
2014-04-29,BR,Фьючерсный контракт на нефть BRENT,F,,26.0,39.0,27309.0,3953.0,1659.0,-79.0,0.06468,-0.01959,
2014-04-29,BR,Фьючерсный контракт на нефть BRENT,F,1.0,553.0,359.0,12562.0,35918.0,-1576.0,162.0,-0.11147,0.00453,
2014-05-06,BR,Фьючерсный контракт на нефть BRENT,F,,29.0,37.0,28897.0,2642.0,523.0,-268.0,0.01843,-0.0921,
2014-05-06,BR,Фьючерсный контракт на нефть BRENT,F,1.0,571.0,288.0,8182.0,34437.0,-982.0,-191.0,-0.10716,-0.00552,
2014-05-13,BR,Фьючерсный контракт на нефть BRENT,F,,30.0,34.0,30823.0,4005.0,646.0,744.0,0.02141,0.22815,
2014-05-13,BR,Фьючерсный контракт на нефть BRENT,F,1.0,560.0,232.0,6847.0,33665.0,-496.0,-594.0,-0.06755,-0.01734,
2014-05-20,BR,Фьючерсный контракт на нефть BRENT,F,,24.0,39.0,25275.0,2472.0,132.0,108.0,0.00525,0.04569,
2014-05-20,BR,Фьючерсный контракт на нефть BRENT,F,1.0,508.0,348.0,10078.0,32881.0,-813.0,-789.0,-0.07465,-0.02343,
2014-05-27,BR,Фьючерсный контракт на нефть BRENT,F,1.0,512.0,397.0,11050.0,32720.0,666.0,-378.0,0.06414,-0.01142,
2014-05-27,BR,Фьючерсный контракт на нефть BRENT,F,,31.0,40.0,24828.0,3158.0,-599.0,445.0,-0.02356,0.16403,
2014-06-03,BR,Фьючерсный контракт на нефть BRENT,F,,28.0,36.0,27339.0,2962.0,794.0,67.0,0.02991,0.02314,
2014-06-03,BR,Фьючерсный контракт на нефть BRENT,F,1.0,521.0,298.0,8316.0,32693.0,69.0,796.0,0.00837,0.02496,
2014-06-10,BR,Фьючерсный контракт на нефть BRENT,F,1.0,538.0,273.0,6208.0,33422.0,261.0,-148.0,0.04389,-0.00441,
2014-06-10,BR,Фьючерсный контракт на нефть BRENT,F,,35.0,28.0,31809.0,4595.0,-801.0,-392.0,-0.02456,-0.0786,
2014-06-17,BR,Фьючерсный контракт на нефть BRENT,F,1.0,528.0,307.0,13508.0,34365.0,1812.0,846.0,0.15492,0.02524,
2014-06-17,BR,Фьючерсный контракт на нефть BRENT,F,,35.0,31.0,24200.0,3343.0,-480.0,486.0,-0.01945,0.17011,
2014-06-24,BR,Фьючерсный контракт на нефть BRENT,F,1.0,557.0,371.0,10501.0,33659.0,-1480.0,633.0,-0.12353,0.01917,
2014-06-24,BR,Фьючерсный контракт на нефть BRENT,F,,38.0,37.0,26994.0,3836.0,2654.0,541.0,0.10904,0.16419,
2014-07-01,BR,Фьючерсный контракт на нефть BRENT,F,1.0,559.0,282.0,9072.0,32525.0,-96.0,-606.0,-0.01047,-0.01829,
2014-07-01,BR,Фьючерсный контракт на нефть BRENT,F,,34.0,35.0,26707.0,3254.0,-151.0,359.0,-0.00562,0.12401,
2014-07-08,BR,Фьючерсный контракт на нефть BRENT,F,,44.0,27.0,35978.0,4702.0,1610.0,-68.0,0.04685,-0.01426,
2014-07-08,BR,Фьючерсный контракт на нефть BRENT,F,1.0,669.0,196.0,4829.0,36105.0,-561.0,1117.0,-0.10408,0.03193,
2014-07-15,BR,Фьючерсный контракт на нефть BRENT,F,1.0,436.0,118.0,3195.0,15233.0,-1078.0,5771.0,-0.25228,0.60991,
2014-07-15,BR,Фьючерсный контракт на нефть BRENT,F,,54.0,19.0,17086.0,5048.0,3709.0,-3140.0,0.27727,-0.38349,
2014-07-22,BR,Фьючерсный контракт на нефть BRENT,F,,41.0,13.0,5756.0,3160.0,-1244.0,-581.0,-0.17771,-0.15531,
2014-07-22,BR,Фьючерсный контракт на нефть BRENT,F,1.0,261.0,110.0,2523.0,5119.0,128.0,-535.0,0.05344,-0.09462,
2014-07-29,BR,Фьючерсный контракт на нефть BRENT,F,1.0,258.0,116.0,2199.0,5149.0,-59.0,-17.0,-0.02613,-0.00329,
2014-07-29,BR,Фьючерсный контракт на нефть BRENT,F,,46.0,13.0,6413.0,3463.0,-278.0,-320.0,-0.04155,-0.08459,
2014-08-05,BR,Фьючерсный контракт на нефть BRENT,F,1.0,392.0,97.0,2413.0,8723.0,-167.0,114.0,-0.06473,0.01324,
2014-08-05,BR,Фьючерсный контракт на нефть BRENT,F,,43.0,13.0,9802.0,3492.0,503.0,222.0,0.05409,0.06789,
